"TimeUTC","timestampInMs","requestPath","requestMethod","requestQueryString","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","durationMs","region","maxMemoryUsed","memorySize","message","projectId","traceId","sessionId","invocationId","instanceId","concurrency"
"2025-09-16 22:55:14",1758063314784,"servico-busca-6yrou9ko7-jeanmnorhens-projects.vercel.app/api/search","GET","q=jean",-1,"2hjcx-1758063314673-0b91754900f9","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","info","production","","","lambda","/api/index.py","servico-busca-6yrou9ko7-jeanmnorhens-projects.vercel.app","servico-busca-6yrou9ko7-jeanmnorhens-projects.vercel.app","dpl_CFJGi2uprVk3WqA8gMN1sSrxDvE4",-1,"iad1",-1,-1,"127.0.0.1 - - [16/Sep/2025 22:55:14] ""GET /api/search?q=jean HTTP/1.1"" 200 -","prj_QsQe3KDprnafLnNuNyPe2t8xRvdd","","","01K5ABTHSHCQK8V0B1YK5RZ38P","",-1
"2025-09-16 22:55:14",1758063314783,"servico-busca-6yrou9ko7-jeanmnorhens-projects.vercel.app/api/search","GET","q=jean",-1,"2hjcx-1758063314673-0b91754900f9","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","error","production","","","lambda","/api/index.py","servico-busca-6yrou9ko7-jeanmnorhens-projects.vercel.app","servico-busca-6yrou9ko7-jeanmnorhens-projects.vercel.app","dpl_CFJGi2uprVk3WqA8gMN1sSrxDvE4",-1,"iad1",-1,-1,"INFO:elastic_transport.transport:POST https://my-elasticsearch-project-e974ce.es.us-central1.gcp.elastic.cloud:443/users,products,stores,offers/_search?ignore_unavailable=true [status:200 duration:0.032s]","prj_QsQe3KDprnafLnNuNyPe2t8xRvdd","","","01K5ABTHSHCQK8V0B1YK5RZ38P","",-1
"2025-09-16 22:55:14",1758063314737,"servico-busca-6yrou9ko7-jeanmnorhens-projects.vercel.app/api/search","GET","q=jean",200,"2hjcx-1758063314673-0b91754900f9","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","info","production","","","lambda","/api/index.py","servico-busca-6yrou9ko7-jeanmnorhens-projects.vercel.app","servico-busca-6yrou9ko7-jeanmnorhens-projects.vercel.app","dpl_CFJGi2uprVk3WqA8gMN1sSrxDvE4",36,"iad1",109,2048,"","prj_QsQe3KDprnafLnNuNyPe2t8xRvdd","","","01K5ABTHSHCQK8V0B1YK5RZ38P","D74ldUm1wyHX",1
"2025-09-16 22:55:14",1758063314582,"servico-busca-6yrou9ko7-jeanmnorhens-projects.vercel.app/api/search","OPTIONS","q=jean",-1,"h92fm-1758063314352-5033e38251a9","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","info","production","","","lambda","/api/index.py","servico-busca-6yrou9ko7-jeanmnorhens-projects.vercel.app","servico-busca-6yrou9ko7-jeanmnorhens-projects.vercel.app","dpl_CFJGi2uprVk3WqA8gMN1sSrxDvE4",-1,"iad1",-1,-1,"127.0.0.1 - - [16/Sep/2025 22:55:14] ""OPTIONS /api/search?q=jean HTTP/1.1"" 200 -","prj_QsQe3KDprnafLnNuNyPe2t8xRvdd","","","01K5ABTHM2H8JDFZFK8HGGCQ96","",-1
"2025-09-16 22:55:14",1758063314562,"servico-busca-6yrou9ko7-jeanmnorhens-projects.vercel.app/api/search","OPTIONS","q=jean",200,"h92fm-1758063314352-5033e38251a9","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","info","production","","","lambda","/api/index.py","servico-busca-6yrou9ko7-jeanmnorhens-projects.vercel.app","servico-busca-6yrou9ko7-jeanmnorhens-projects.vercel.app","dpl_CFJGi2uprVk3WqA8gMN1sSrxDvE4",5,"iad1",109,2048,"","prj_QsQe3KDprnafLnNuNyPe2t8xRvdd","","","01K5ABTHM2H8JDFZFK8HGGCQ96","D74ldUm1wyHX",1
"2025-09-16 22:53:26",1758063206701,"servico-busca-6yrou9ko7-jeanmnorhens-projects.vercel.app/api/search","GET","q=jean",-1,"knwn6-1758063206411-ae9dc5782efc","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","info","production","","","lambda","/api/index.py","servico-busca-6yrou9ko7-jeanmnorhens-projects.vercel.app","servico-busca-6yrou9ko7-jeanmnorhens-projects.vercel.app","dpl_CFJGi2uprVk3WqA8gMN1sSrxDvE4",-1,"iad1",-1,-1,"127.0.0.1 - - [16/Sep/2025 22:53:26] ""GET /api/search?q=jean HTTP/1.1"" 200 -","prj_QsQe3KDprnafLnNuNyPe2t8xRvdd","","","01K5ABQ871ZB5R8PQHXC5FNCP7","",-1
"2025-09-16 22:53:26",1758063206701,"servico-busca-6yrou9ko7-jeanmnorhens-projects.vercel.app/api/search","GET","q=jean",-1,"knwn6-1758063206411-ae9dc5782efc","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","error","production","","","lambda","/api/index.py","servico-busca-6yrou9ko7-jeanmnorhens-projects.vercel.app","servico-busca-6yrou9ko7-jeanmnorhens-projects.vercel.app","dpl_CFJGi2uprVk3WqA8gMN1sSrxDvE4",-1,"iad1",-1,-1,"INFO:elastic_transport.transport:POST https://my-elasticsearch-project-e974ce.es.us-central1.gcp.elastic.cloud:443/users,products,stores,offers/_search?ignore_unavailable=true [status:200 duration:0.032s]","prj_QsQe3KDprnafLnNuNyPe2t8xRvdd","","","01K5ABQ871ZB5R8PQHXC5FNCP7","",-1
"2025-09-16 22:53:26",1758063206625,"servico-busca-6yrou9ko7-jeanmnorhens-projects.vercel.app/api/search","GET","q=jean",200,"knwn6-1758063206411-ae9dc5782efc","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","info","production","","","lambda","/api/index.py","servico-busca-6yrou9ko7-jeanmnorhens-projects.vercel.app","servico-busca-6yrou9ko7-jeanmnorhens-projects.vercel.app","dpl_CFJGi2uprVk3WqA8gMN1sSrxDvE4",36,"iad1",108,2048,"","prj_QsQe3KDprnafLnNuNyPe2t8xRvdd","","","01K5ABQ871ZB5R8PQHXC5FNCP7","D74ldUm1wyHX",1
"2025-09-16 22:53:26",1758063206326,"servico-busca-6yrou9ko7-jeanmnorhens-projects.vercel.app/api/search","OPTIONS","q=jean",-1,"zsxj7-1758063206247-98d914cf3ad5","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","info","production","","","lambda","/api/index.py","servico-busca-6yrou9ko7-jeanmnorhens-projects.vercel.app","servico-busca-6yrou9ko7-jeanmnorhens-projects.vercel.app","dpl_CFJGi2uprVk3WqA8gMN1sSrxDvE4",-1,"iad1",-1,-1,"127.0.0.1 - - [16/Sep/2025 22:53:26] ""OPTIONS /api/search?q=jean HTTP/1.1"" 200 -","prj_QsQe3KDprnafLnNuNyPe2t8xRvdd","","","01K5ABQ7XAFTBY39Z69DHGQWXY","",-1
"2025-09-16 22:53:26",1758063206313,"servico-busca-6yrou9ko7-jeanmnorhens-projects.vercel.app/api/search","OPTIONS","q=jean",200,"zsxj7-1758063206247-98d914cf3ad5","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","info","production","","","lambda","/api/index.py","servico-busca-6yrou9ko7-jeanmnorhens-projects.vercel.app","servico-busca-6yrou9ko7-jeanmnorhens-projects.vercel.app","dpl_CFJGi2uprVk3WqA8gMN1sSrxDvE4",3,"iad1",108,2048,"","prj_QsQe3KDprnafLnNuNyPe2t8xRvdd","","","01K5ABQ7XAFTBY39Z69DHGQWXY","D74ldUm1wyHX",1
"2025-09-16 22:53:02",1758063182287,"servico-busca-6yrou9ko7-jeanmnorhens-projects.vercel.app/api/search","GET","q=jean",-1,"sfv7l-1758063182167-bfbbdb9e0cab","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","info","production","","","lambda","/api/index.py","servico-busca-6yrou9ko7-jeanmnorhens-projects.vercel.app","servico-busca-6yrou9ko7-jeanmnorhens-projects.vercel.app","dpl_CFJGi2uprVk3WqA8gMN1sSrxDvE4",-1,"iad1",-1,-1,"127.0.0.1 - - [16/Sep/2025 22:53:02] ""GET /api/search?q=jean HTTP/1.1"" 200 -","prj_QsQe3KDprnafLnNuNyPe2t8xRvdd","","","01K5ABPGCWHCP72CVJ639YDYFY","",-1
"2025-09-16 22:53:02",1758063182286,"servico-busca-6yrou9ko7-jeanmnorhens-projects.vercel.app/api/search","GET","q=jean",-1,"sfv7l-1758063182167-bfbbdb9e0cab","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","error","production","","","lambda","/api/index.py","servico-busca-6yrou9ko7-jeanmnorhens-projects.vercel.app","servico-busca-6yrou9ko7-jeanmnorhens-projects.vercel.app","dpl_CFJGi2uprVk3WqA8gMN1sSrxDvE4",-1,"iad1",-1,-1,"INFO:elastic_transport.transport:POST https://my-elasticsearch-project-e974ce.es.us-central1.gcp.elastic.cloud:443/users,products,stores,offers/_search?ignore_unavailable=true [status:200 duration:0.032s]","prj_QsQe3KDprnafLnNuNyPe2t8xRvdd","","","01K5ABPGCWHCP72CVJ639YDYFY","",-1
"2025-09-16 22:53:02",1758063182236,"servico-busca-6yrou9ko7-jeanmnorhens-projects.vercel.app/api/search","GET","q=jean",200,"sfv7l-1758063182167-bfbbdb9e0cab","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","info","production","","","lambda","/api/index.py","servico-busca-6yrou9ko7-jeanmnorhens-projects.vercel.app","servico-busca-6yrou9ko7-jeanmnorhens-projects.vercel.app","dpl_CFJGi2uprVk3WqA8gMN1sSrxDvE4",36,"iad1",108,2048,"","prj_QsQe3KDprnafLnNuNyPe2t8xRvdd","","","01K5ABPGCWHCP72CVJ639YDYFY","D74ldUm1wyHX",1
"2025-09-16 22:53:02",1758063182081,"servico-busca-6yrou9ko7-jeanmnorhens-projects.vercel.app/api/search","OPTIONS","q=jean",-1,"2bsls-1758063181856-d098acecee73","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","info","production","","","lambda","/api/index.py","servico-busca-6yrou9ko7-jeanmnorhens-projects.vercel.app","servico-busca-6yrou9ko7-jeanmnorhens-projects.vercel.app","dpl_CFJGi2uprVk3WqA8gMN1sSrxDvE4",-1,"iad1",-1,-1,"127.0.0.1 - - [16/Sep/2025 22:53:02] ""OPTIONS /api/search?q=jean HTTP/1.1"" 200 -","prj_QsQe3KDprnafLnNuNyPe2t8xRvdd","","","01K5ABPG7EFQNBCV7Z6P8MYYZK","",-1
